slug,title,classification,displayTitle,subtitle,convertibility,pattern,tag,publishedAt,updatedAt,description,articleType,serviceLinked,serviceIds,seoTitleKeep,notes
dazn-vs-pacific-league-tv,DAZNとパ・リーグTVを比較｜料金・見られる試合・どっちがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,DAZNとパ・リーグTVを比較,料金・見られる試合・どっちがおすすめ？【2026年版】,人間確認推奨,AとBを比較,スポーツ配信,2026-08-22,2026-08-22,DAZNとパ・リーグTVを料金、プロ野球の配信範囲、交流戦、ファーム、他スポーツ、契約期間で比較。どちらが向いているか2026年版で整理します。,service_comparison,あり,,可,
dbarai-review,d払いとは？還元率・dポイント・dカード・電話料金合算払いを解説【2026年版】,A. 単体サービス紹介,d払い,還元率・dポイント・dカード・電話料金合算払いを解説【2026年版】,自動変換可能,Aとは？〜,スマホ決済,2026-08-22,2026-08-22,d払いの基本還元率0.5％、dカード支払い特典、dポイントクラブ、電話料金合算払い、dポイント利用、ネット決済、ドコモユーザー以外の利用まで2026年公式情報で整理します。,service_review,あり,,可,
decagon-review,Decagonとは？AOPで作るAIカスタマーサポートの仕組み・料金・Sierraとの違いを考える前に知りたい特徴,A. 単体サービス紹介,Decagon,AOPで作るAIカスタマーサポートの仕組み・料金・Sierraとの違いを考える前に知りたい特徴,自動変換可能,Aとは？〜,AIカスタマーサポート,2026-08-23,2026-08-24,Decagonは、企業のカスタマーサポートや顧客体験を担当するAIエージェントを構築・運用するプラットフォームです。,service_review,あり,,可,
delipicks-review,DELIPICKSとは？料金・送料・まとめ買い割引・お試しセットを解説【2026年版】,A. 単体サービス紹介,DELIPICKS,料金・送料・まとめ買い割引・お試しセットを解説【2026年版】,自動変換可能,Aとは？〜,宅配食,2026-08-22,2026-08-22,DELIPICKSの弁当税込950円、まとめ買い10〜20％OFF、最低注文額、送料、お試しセット、栄養基準まで整理します。,service_review,あり,,可,
delivery-buyback-service-comparison,宅配買取4社を比較｜ブックオフ・駿河屋・バイセル・セカンドストリートどれがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,宅配買取4社を比較,ブックオフ・駿河屋・バイセル・セカンドストリートどれがおすすめ？【2026年版】,人間確認推奨,Nサービスを比較,中古・買取,2026-08-22,2026-08-22,ブックオフ、駿河屋、バイセル、セカンドストリートの宅配買取を送料、手数料、キャンセル返送料、得意ジャンルで比較します。,service_comparison,あり,,可,
delivery-cleaning-service-comparison,宅配クリーニング4社を比較｜リネット・せんたく便・ホワイト宅配便・クリーニングパンダどれがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,宅配クリーニング4社を比較,リネット・せんたく便・ホワイト宅配便・クリーニングパンダどれがおすすめ？【2026年版】,人間確認推奨,Nサービスを比較,宅配クリーニング,2026-08-22,2026-08-22,リネット、せんたく便、ホワイト宅配便、クリーニングパンダを料金、10点パック、送料、保管期間、納期、無料サービスで比較します。,service_comparison,あり,,可,
devin-review,Devinとは？AIソフトウェアエンジニアの使い方・料金・月20ドルで何ができるかを解説,A. 単体サービス紹介,Devin,AIソフトウェアエンジニアの使い方・料金・月20ドルで何ができるかを解説,自動変換可能,Aとは？〜,AIコーディングエージェント,2026-08-22,2026-08-24,Devinは、Cognitionが提供するAI Software Engineerです。,service_review,あり,,可,
dia-browser-review,Dia Browserとは？AIブラウザの使い方・料金・無料版との違いを解説,A. 単体サービス紹介,Dia Browser,AIブラウザの使い方・料金・無料版との違いを解説,自動変換可能,Aとは？〜,AIブラウザ,2026-08-22,2026-08-24,Diaは、BrowserのTab、Slack、Gmail、Notion、Calendarなど仕事中に散らばるContextをAIへまとめて渡し、そのまま回答・Report・Meeting準備などへ使えるAI Browserです。,service_review,あり,,可,
discovery-commerce-comparison,ディスカバリーECとは？TikTok Shop・LIVEコマース・検索ECの違いを解説【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,ディスカバリーECとは？TikTok Shop・LIVEコマース・検索ECの違いを解説【2026年版】,ディスカバリーECの意味、TikTok Shopの日本GMV70％超がコンテンツ起点、LIVE約60％、検索ECとの使い分けを解説します。,人間確認推奨,Aとは？〜,TikTok Shop,2026-08-22,2026-08-22,ディスカバリーECの意味、TikTok Shopの日本GMV70％超がコンテンツ起点、LIVE約60％、検索ECとの使い分けを解説します。,service_comparison,あり,,可,
disney-plus-review,Disney+とは？料金・作品ジャンル・使い方と他社動画配信サービスとの違いを解説,A. 単体サービス紹介,Disney+,料金・作品ジャンル・使い方と他社動画配信サービスとの違いを解説,自動変換可能,Aとは？〜,動画配信,2026-08-22,2026-08-25,Disney+は、ディズニーが提供する動画配信サービスです。,service_review,あり,,可,
disney-plus-vs-unext,Disney+とU-NEXTはどっちがいい？料金・作品・使い方の違いを比較,B. 2サービス比較,Disney+ vs U-NEXT,料金・機能・使い方の違いを比較,ほぼ自動変換可能,AとBを比較,動画配信,2026-08-25,2026-08-25,Disney+とU-NEXTは、どちらも映画・ドラマ・アニメを楽しめる動画配信サービスです。,service_comparison,あり,,可,
dmm-books-review,DMMブックスとは？使い方・料金・どんな人に向いているかをわかりやすく解説,A. 単体サービス紹介,DMMブックス,使い方・料金・どんな人に向いているかをわかりやすく解説,自動変換可能,Aとは？〜,電子書籍,2026-08-22,2026-08-23,DMMブックスは、DMM.comが提供している電子書籍サービスです。マンガ、小説、ライトノベル、写真集、実用書などを購入でき、WebブラウザのほかWindows・Mac・iPhone・iPad・Android向けの専用アプリから読むことができます。,service_review,あり,,可,
docomo-bank-review,ドコモ銀行とは？「ドコモの銀行」ドコモSMTBネット銀行の特徴・手数料・dポイント連携を解説,A. 単体サービス紹介,ドコモの銀行,ドコモ銀行とは？「ドコモの銀行」ドコモSMTBネット銀行の特徴・手数料・dポイント連携を解説,自動変換可能,Aとは？〜,ネット銀行,2026-08-22,2026-08-24,「ドコモ銀行」と呼ばれることがある現在のドコモグループの銀行は、正式にはドコモSMTBネット銀行です。,service_review,あり,,可,
docomo-hikari-review,ドコモ光とは？料金・セット割・プロバイダ選びや他社光回線との違いを解説,C. 複数サービス比較 / おすすめ / 選び方,ドコモ光とは？料金・セット割・プロバイダ選びや他社光回線との違いを解説,ドコモ光は、NTTドコモが提供している家庭向けの光回線サービスです。,人間確認推奨,Aとは？〜,ネット回線,2026-08-22,2026-08-25,ドコモ光は、NTTドコモが提供している家庭向けの光回線サービスです。,service_review,あり,,可,
docomo-vs-softbank-hikari,ドコモ光とSoftBank 光を比較｜1ギガ料金・スマホ割・工事・解約はどっち？【2026年版】,B. 2サービス比較,ドコモ光 vs SoftBank 光,ドコモ光とSoftBank 光を戸建・マンション1ギガ料金、スマホセット割、工事費、2年契約で比較します。,ほぼ自動変換可能,AとBを比較,ネット回線,2026-08-22,2026-08-22,ドコモ光とSoftBank 光を戸建・マンション1ギガ料金、スマホセット割、工事費、2年契約で比較します。,service_comparison,あり,,可,
domestic-travel-booking-comparison,国内旅行・ツアー予約サイトおすすめ6選を比較｜JTB・日本旅行・エアトリ・ニーズツアー・ビッグホリデー・J-TRIP【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,国内旅行・ツアー予約サイトおすすめ6選を比較,JTB・日本旅行・エアトリ・ニーズツアー・ビッグホリデー・J-TRIP【2026年版】,人間確認推奨,おすすめN選,旅行,2026-08-17,2026-08-17,国内旅行・ツアー予約サイト6社を、JTB、日本旅行、エアトリ国内ツアー、ニーズツアー、ビッグホリデー、J-TRIPの特徴と向いている旅行で比較します。,comparison,あり,SRV-000009-jtb-domestic-travel;SRV-000011-nippon-travel-jr-hotel;SRV-000012-airtrip-domestic-tour;SRV-000014-needstour;SRV-000015-big-holiday;SRV-000016-jtrip,可,
dropbox-review,Dropboxとは？料金・使い方・Google Driveなど他のクラウドストレージとの違いを解説,A. 単体サービス紹介,Dropbox,料金・使い方・Google Driveなど他のクラウドストレージとの違いを解説,自動変換可能,Aとは？〜,クラウドストレージ,2026-08-22,2026-08-25,Dropboxは、インターネット上にファイルを保存できるクラウドストレージサービスです。パソコンやスマートフォンに保存している写真、書類、動画などをオンライン上へ保存し、複数の端末から同じファイルへアクセスできます。クラウドストレージに,service_review,あり,,可,
duga-review,DUGAとは？使い方・料金・単品購入と月額見放題の違いをわかりやすく解説,A. 単体サービス紹介,DUGA,使い方・料金・単品購入と月額見放題の違いをわかりやすく解説,自動変換可能,Aとは？〜,成人向け,2026-08-22,2026-08-23,DUGAは、Apexが運営する成人向け動画のダウンロード販売サービスです。見たい作品だけを1本ずつ購入するPPVと、対象チャンネル内の作品を定額で視聴する月額番組の両方があり、購入した動画を専用のDUGA Playerへダウンロードしてオフライン再生できるのが特徴です。,service_review,あり,,可,
ebay-review,eBayとは？日本から買う方法・安全性・関税・返品・マネーバック保証を解説【2026年版】,A. 単体サービス紹介,eBay,日本から買う方法・安全性・関税・返品・マネーバック保証を解説【2026年版】,自動変換可能,Aとは？〜,EC・通販,2026-08-22,2026-08-22,eBayとはどんな海外通販・マーケットプレイスなのか。日本からの購入、国際配送、関税、eBay Money Back Guarantee、真贋保証まで整理します。,service_review,あり,,可,
ebook-service-comparison,電子書籍・漫画サービス4社を比較｜コミックシーモア・ebookjapan・まんが王国・DMMブックスどれがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,電子書籍・漫画サービス4社を比較,コミックシーモア・ebookjapan・まんが王国・DMMブックスどれがおすすめ？【2026年版】,人間確認推奨,Nサービスを比較,電子書籍,2026-08-22,2026-08-22,コミックシーモア、ebookjapan、まんが王国、DMMブックスを初回クーポン、ポイント、PayPay、読み放題、無料漫画、向いている人で比較します。,service_comparison,あり,,可,
ebookjapan-review,ebookjapanとは？使い方・料金・どんな人に向いているかをわかりやすく解説,A. 単体サービス紹介,ebookjapan,使い方・料金・どんな人に向いているかをわかりやすく解説,自動変換可能,Aとは？〜,電子書籍,2026-08-22,2026-08-23,ebookjapanは、Yahoo! JAPAN IDで利用できる電子書籍サービスです。マンガを中心に、小説やライトノベル、実用書などをWebやスマートフォンアプリから読むことができます。無料作品も用意されていて、作品を購入するときはクレジットカードだけでなくPayPayも使えます。,service_review,あり,,可,
ee35-film-camera-review,EE35 Film Cameraとは？使い方・料金・300円で何ができるかをわかりやすく解説,A. 単体サービス紹介,EE35 フィルムカメラ,EE35 Film Cameraとは？使い方・料金・300円で何ができるかをわかりやすく解説,自動変換可能,Aとは？〜,アプリ,2026-08-21,2026-08-23,EE35 Film Cameraは、1960年代ごろの機械式フィルムカメラの操作感をiPhoneで再現したカメラアプリです。日本のApp Storeでは300円の買い切りで、フィルムを巻き上げてからシャッターを切り、12枚撮り終えると現像するという流れまで含めてフィルムカメラらしさを楽しめます。,service_review,あり,,可,
eiken-pre1-detatan-review,英検準1級 でた単とは？使い方・料金・プレミアムは必要かをわかりやすく解説,A. 単体サービス紹介,英検®準1級 でた単,英検準1級 でた単とは？使い方・料金・プレミアムは必要かをわかりやすく解説,自動変換可能,Aとは？〜,アプリ,2026-08-21,2026-08-23,"「英検®準1級 でた単」は、英検準1級の語彙問題対策に特化した英単語アプリです。日本のApp Storeでは本体1,000円で、過去の英検出題データをもとに選定した5,572語の単語・熟語を学習できます。",service_review,あり,,可,
electricity-service-comparison,電気4社を比較｜東京電力・東京ガス・ENEOSでんき・楽天でんきどれがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,電気4社を比較,東京電力・東京ガス・ENEOSでんき・楽天でんきどれがおすすめ？【2026年版】,人間確認推奨,Nサービスを比較,電気,2026-08-22,2026-08-22,東京電力、東京ガス、ENEOSでんき、楽天でんきを基本料金、従量単価、燃料/市場調整、ポイント、セット割で比較します。,service_comparison,あり,,可,
elevenagents-review,ElevenAgentsとは？できること・作り方・料金・電話対応まで解説,A. 単体サービス紹介,ElevenAgents,できること・作り方・料金・電話対応まで解説,自動変換可能,Aとは？〜,AI音声エージェント,2026-08-23,2026-08-24,ElevenAgentsは、ElevenLabsが提供する会話型AIエージェントの構築・運用プラットフォームです。,service_review,あり,,可,
eneos-electricity-review,ENEOSでんきは安い？Vプランの料金・にねん とく2割・切り替える意味を解説,A. 単体サービス紹介,ENEOSでんき,は安い？Vプランの料金・にねん とく2割・切り替える意味を解説,ほぼ自動変換可能,Aは〜,電気,2026-08-22,2026-08-24,ENEOSでんきは、ENEOS Powerが提供している家庭向けの電力サービスです。,service_review,あり,,可,
eplus-review,イープラスとは？手数料・プレオーダー・スマチケ・定価リセールまで解説【2026年版】,A. 単体サービス紹介,イープラス,手数料・プレオーダー・スマチケ・定価リセールまで解説【2026年版】,自動変換可能,Aとは？〜,チケット,2026-08-22,2026-08-22,イープラス（e+）の使い方、手数料、プレオーダー、支払い、ファミマ・セブン発券、スマチケ、定価リセールまで2026年の公式情報で整理します。,service_review,あり,,可,
everies-review,everiesは買う価値ある？身の回りのモノと話せるARアプリを解説【2026年版】,A. 単体サービス紹介,everies,は買う価値ある？身の回りのモノと話せるARアプリを解説【2026年版】,ほぼ自動変換可能,Aは〜,アプリ,2026-08-19,2026-08-19,everiesは買う価値がある？価格、機能、対応環境、注意点を2026年最新情報をもとに解説します。,service_review,あり,SRV-000032-everies,可,
every-frecious-review,エブリィフレシャスはどんな浄水型ウォーターサーバー？料金・機種の違い・3年未満の解約金まで解説,A. 単体サービス紹介,エブリィフレシャス,はどんな浄水型ウォーターサーバー？料金・機種の違い・3年未満の解約金まで解説,ほぼ自動変換可能,Aは〜,ウォーターサーバー,2026-08-22,2026-08-24,エブリィフレシャスは、自宅の水道水をタンクへ注いで使う浄水型ウォーターサーバーです。,service_review,あり,,可,
famipay-review,ファミペイとは？ファミマポイント・還元率・チャージ・公共料金・使える店を解説【2026年版】,A. 単体サービス紹介,ファミペイ,ファミマポイント・還元率・チャージ・公共料金・使える店を解説【2026年版】,自動変換可能,Aとは？〜,スマホ決済,2026-08-22,2026-08-22,ファミペイのFamiPay払い、200円ごと1円相当のファミマポイント、チャージ、ファミリーマートでのポイントカード、請求書・公共料金、街・ネットの加盟店を2026年公式情報で整理します。,service_review,あり,,可,
fanza-h-next-rakuten-tv-comparison,成人向け動画サブスク3社比較｜FANZA・H-NEXT・Rakuten TVはどれがいい？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,成人向け動画サブスク3社比較,FANZA・H-NEXT・Rakuten TVはどれがいい？【2026年版】,人間確認推奨,Nサービスを比較,成人向け,2026-08-22,2026-08-22,FANZA、H-NEXT、Rakuten TV成人向けを2026年の公式情報で比較。料金体系、見放題、一般向けVODとのセット利用、作品数の考え方、家族利用まで整理します。,service_comparison,あり,,可,
fanza-review,FANZAとは？使い方・料金・見放題の違いまでわかりやすく解説,A. 単体サービス紹介,FANZA,使い方・料金・見放題の違いまでわかりやすく解説,自動変換可能,Aとは？〜,成人向け,2026-08-22,2026-08-23,FANZAは、動画、電子書籍、同人、ゲームなど成人向けコンテンツを扱うDMMのサービスです。動画だけを見ても、作品ごとの購入、月額動画、DMMプレミアムで利用できるFANZA TV、追加契約のFANZA TV Plusなど複数の使い方があり、初めて利用すると「結局どれに入ればいいのか」が分かりにくいところがあ,service_review,あり,,可,
fanza-vs-h-next,FANZA vs H-NEXT｜成人向け見放題はどっちがいい？料金・作品数・使い方の違いを比較【2026年版】,B. 2サービス比較,FANZA vs H-NEXT,成人向け見放題はどっちがいい？料金・作品数・使い方の違いを比較【2026年版】,ほぼ自動変換可能,A vs B,成人向け,2026-08-22,2026-08-22,FANZAとH-NEXTはどちらが向いているのか。料金、見放題の仕組み、作品数、一般向け動画とのセット利用、家族利用、使い分けまで整理して比較します。,service_comparison,あり,,可,
fathom-review,Fathomとは？使い方・料金・どんな人に向いているかをわかりやすく解説,A. 単体サービス紹介,Fathom,使い方・料金・どんな人に向いているかをわかりやすく解説,自動変換可能,Aとは？〜,AI議事録,2026-08-12,2026-08-23,Fathomは、ZoomやGoogle Meet、Microsoft Teamsの会議を録画・文字起こしし、AIで要約まで作ってくれる会議アシスタントです。会議中に細かくメモを取らなくても、あとから発言内容や決定事項を確認できるので、議事録を作る時間を減らしたい人には分かりやすいサービスです。,service_review,あり,SRV-000001,可,
fiber-internet-comparison,光回線4社を比較｜ドコモ光・SoftBank 光・auひかり・NURO 光どれがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,光回線4社を比較,ドコモ光・SoftBank 光・auひかり・NURO 光どれがおすすめ？【2026年版】,人間確認推奨,Nサービスを比較,ネット回線,2026-08-22,2026-08-22,ドコモ光、SoftBank 光、auひかり、NURO 光を月額、速度規格、工事、提供エリア、スマホ割で比較します。,service_comparison,あり,,可,
fireflies-ai-review,Fireflies.aiとは？使い方・料金・どんな人に向いているかをわかりやすく解説,A. 単体サービス紹介,Fireflies.ai,使い方・料金・どんな人に向いているかをわかりやすく解説,自動変換可能,Aとは？〜,AI議事録,2026-08-12,2026-08-23,Fireflies.aiは、オンライン会議や対面の会話を録音・文字起こしし、AIで要約やタスク整理まで行える会議アシスタントです。Zoom、Google Meet、Microsoft TeamsなどにAIノートテイカーを参加させる方法に加え、Windows・Macのデスクトップアプリ、iPhone・Andro,service_review,あり,SRV-000003-fireflies-ai,可,
firefox-smart-window-review,Firefox Smart Windowとは？AIブラウザの特徴・使い方・日本で使えるかを解説,A. 単体サービス紹介,Firefox Smart Window,AIブラウザの特徴・使い方・日本で使えるかを解説,自動変換可能,Aとは？〜,AIブラウザ,2026-08-22,2026-08-24,Firefox Smart Windowは、通常のFirefoxとは別に開ける、AI Assistantを組み込んだ新しいWindow Modeです。,service_review,あり,,可,
fit-easy-review,FIT-EASY（フィットイージー）とは？料金・設備・サウナ・相互利用・退会を解説【2026年版】,A. 単体サービス紹介,FIT-EASY,（フィットイージー）とは？料金・設備・サウナ・相互利用・退会を解説【2026年版】,自動変換可能,Aとは？〜,24時間ジム,2026-08-22,2026-08-22,FIT-EASY（フィットイージー）の料金、24時間営業、サウナ・ゴルフ等の設備、全店利用、休会・退会まで2026年の公式情報をもとに整理します。,service_review,あり,,可,
fit-easy-vs-anytime-fitness,FIT-EASYとエニタイムフィットネスを比較｜料金・設備・サウナ・相互利用はどっちがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,FIT-EASYとエニタイムフィットネスを比較,料金・設備・サウナ・相互利用はどっちがおすすめ？【2026年版】,人間確認推奨,AとBを比較,24時間ジム,2026-08-22,2026-08-22,FIT-EASYとエニタイムフィットネスを、料金、店舗利用、設備、サウナ、ゴルフ、フリーウェイト、スタッフ、向いている人で比較します。,service_comparison,あり,,可,
fit-place24-review,FIT PLACE24とは？料金・設備・12か月契約・相互利用・退会を解説【2026年版】,A. 単体サービス紹介,FIT PLACE24,料金・設備・12か月契約・相互利用・退会を解説【2026年版】,自動変換可能,Aとは？〜,24時間ジム,2026-08-22,2026-08-22,"FIT PLACE24の月額3,278円からの料金、プレミアム・ライト・パーソナル、12か月継続条件、相互利用、初期費用、設備を2026年公式情報で整理します。",service_review,あり,,可,
flea-market-comparison,フリマ4サービスを比較｜メルカリ・Yahoo!フリマ・楽天ラクマ・ジモティーどれがおすすめ？,C. 複数サービス比較 / おすすめ / 選び方,フリマ4サービスを比較,メルカリ・Yahoo!フリマ・楽天ラクマ・ジモティーどれがおすすめ？,人間確認推奨,Nサービスを比較,フリマ・個人売買,2026-08-22,2026-08-22,メルカリ、Yahoo!フリマ、楽天ラクマ、ジモティーを販売手数料、送料、匿名配送、大型品、売れやすさで比較します。,service_comparison,あり,,可,
foodable-review,foodableとは？家電＋食材サブスクの料金・仕組み・途中解約をわかりやすく解説,A. 単体サービス紹介,foodable,家電＋食材サブスクの料金・仕組み・途中解約をわかりやすく解説,自動変換可能,Aとは？〜,ライフスタイル,2026-08-17,2026-08-23,foodable（フーダブル）は、パナソニックの家電を月額で利用しながら、その家電に合う食材やレシピなども楽しめるサブスクリプションサービスです。,service_review,あり,SRV-000023-foodable,可,
frecious-review,フレシャスはどんなウォーターサーバー？天然水の料金・機種の違い・解約金まで解説,A. 単体サービス紹介,フレシャス,はどんなウォーターサーバー？天然水の料金・機種の違い・解約金まで解説,ほぼ自動変換可能,Aは〜,ウォーターサーバー,2026-08-22,2026-08-24,フレシャスは、富士山などで採水した天然水を自宅へ定期配送する宅配型ウォーターサーバーです。,service_review,あり,,可,
gamma-review,Gammaとは？AIプレゼン作成の使い方・料金・無料版でどこまでできるかを解説,A. 単体サービス紹介,Gamma,AIプレゼン作成の使い方・料金・無料版でどこまでできるかを解説,自動変換可能,Aとは？〜,AIサービス,2026-08-21,2026-08-24,Gammaは、テーマや文章を入力すると、構成、文章、レイアウト、画像までまとめて生成し、プレゼンテーションやドキュメント、Webサイトなどを作れるAIデザインサービスです。,service_review,あり,,可,
gamma-vs-canva-ai-vs-napkin-ai,Gamma・Canva AI・Napkin AIを比較｜資料作成AIならどれがおすすめ？違い・料金・向いている人を解説【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,Gamma・Canva AI・Napkin AIを比較,資料作成AIならどれがおすすめ？違い・料金・向いている人を解説【2026年版】,人間確認推奨,違いを比較,AIサービス,2026-08-21,2026-08-21,AIでプレゼン資料や図解を作るサービスは増えていますが、Gamma・Canva AI・Napkin AIは同じように見えて、得意分野がかなり違います。,service_comparison,なし,,可,
gemini-deep-research-review,Gemini Deep Researchとは？使い方・料金・普通の検索との違いをわかりやすく解説,A. 単体サービス紹介,Gemini Deep Research,使い方・料金・普通の検索との違いをわかりやすく解説,自動変換可能,Aとは？〜,AIリサーチ,2026-08-22,2026-08-24,Gemini Deep Researchは、GoogleのGeminiで複数の情報源を調べ、内容を整理し、引用元を確認できる長いリサーチレポートまで作るための機能です。,service_review,あり,,可,
gemini-in-chrome-review,Gemini in Chromeとは？使い方・料金・自動ブラウジングで何ができるかを解説,A. 単体サービス紹介,Gemini in Chrome,使い方・料金・自動ブラウジングで何ができるかを解説,自動変換可能,Aとは？〜,AIブラウザ,2026-08-22,2026-08-24,Gemini in Chromeは、Google Chromeの中からGeminiを呼び出し、今見ているWeb Pageや複数TabをContextに質問したり、Web上のTaskを代わりに進めてもらったりできるAI機能です。,service_review,あり,,可,
gemini-review,Geminiとは？できること・使い方・無料版とGoogle AI Pro・Ultraの違いを解説,A. 単体サービス紹介,Gemini,できること・使い方・無料版とGoogle AI Pro・Ultraの違いを解説,自動変換可能,Aとは？〜,AIサービス,2026-08-21,2026-08-24,Geminiは、Googleが提供する生成AIサービスです。,service_review,あり,,可,
genko-planner-review,原稿プランナーは買う価値ある？漫画・小説の締切管理アプリを解説【2026年版】,A. 単体サービス紹介,原稿プランナー,は買う価値ある？漫画・小説の締切管理アプリを解説【2026年版】,ほぼ自動変換可能,Aは〜,アプリ,2026-08-19,2026-08-19,原稿プランナーは買う価値がある？価格、機能、対応環境、注意点を2026年最新情報をもとに解説します。,service_review,あり,SRV-000034-genko-planner,可,
genspark-review,Gensparkとは？AIワークスペースの使い方・料金・無料版でどこまでできるかを解説,A. 単体サービス紹介,Genspark,AIワークスペースの使い方・料金・無料版でどこまでできるかを解説,自動変換可能,Aとは？〜,AIサービス,2026-08-21,2026-08-24,Gensparkは、AI検索だけでなく、調査、スライド・文書・表計算の作成、画像・動画・音楽生成、コーディング、メール処理などを一つの環境で進められるAIワークスペースです。,service_review,あり,,可,
genspark-vs-manus,Genspark・Manusを比較｜AIエージェントならどっちがおすすめ？違い・料金・向いている人を解説【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,Genspark・Manusを比較,AIエージェントならどっちがおすすめ？違い・料金・向いている人を解説【2026年版】,人間確認推奨,違いを比較,AIサービス,2026-08-21,2026-08-22,AIに質問へ答えてもらうだけでなく、実際の作業まで任せたい人が増える中で、候補に入りやすいのがGensparkとManusです。,service_comparison,なし,,可,
google-drive-google-one-review,Google Drive・Google Oneとは？料金・容量追加の仕組みと他社クラウドストレージとの違いを解説,A. 単体サービス紹介,Google Drive,・Google Oneとは？料金・容量追加の仕組みと他社クラウドストレージとの違いを解説,自動変換可能,Aとは？〜,クラウドストレージ,2026-08-22,2026-08-25,Google Driveは、Googleが提供しているオンラインストレージサービスです。,service_review,あり,,可,
google-drive-vs-icloud,Google DriveとiCloud+を比較｜料金・写真・iPhone・Androidはどっちがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,Google DriveとiCloud+を比較,料金・写真・iPhone・Androidはどっちがおすすめ？【2026年版】,人間確認推奨,AとBを比較,クラウドストレージ,2026-08-22,2026-08-22,Google OneとiCloud+を無料容量、100/200GB、写真バックアップ、iPhone・Android、家族共有で比較します。,service_comparison,あり,,可,
google-universal-cart-review,Google Universal Cartとは？Gemini・検索をまたいで買い物できる新しいAIカートを解説,A. 単体サービス紹介,Google Universal Cart,Gemini・検索をまたいで買い物できる新しいAIカートを解説,自動変換可能,Aとは？〜,AIショッピング,2026-08-22,2026-08-24,Google Universal Cartは、Google検索やGeminiなどで見つけた商品を一つのカートへ入れ、価格変動や在庫をAIに追跡させながら購入まで進められる新しいショッピング機能です。,service_review,あり,,可,
google-veo-review,Google Veoとは？Veo 3.1・音声生成・Flow・Gemini・料金を解説【2026年版】,A. 単体サービス紹介,Google Veo,Veo 3.1・音声生成・Flow・Gemini・料金を解説【2026年版】,自動変換可能,Aとは？〜,動画生成AI,2026-08-22,2026-08-22,Google Veo 3.1の動画生成、音声、9:16、1080p・4K、Flow・Gemini・APIでの使い方、料金体系と注意点を2026年の公式情報で整理します。,service_review,あり,,可,
green-beans-review,Green Beans（グリーンビーンズ）とは？送料・最低注文金額・配送時間・WAON POINTを解説【2026年版】,A. 単体サービス紹介,Green Beans,（グリーンビーンズ）とは？送料・最低注文金額・配送時間・WAON POINTを解説【2026年版】,自動変換可能,Aとは？〜,ネットスーパー,2026-08-22,2026-08-22,"Green Beansの税抜4,000円の最低購入金額、0〜1,100円の配送料、12,000円以上送料無料、配送時間、WAON POINT、配送エリアを2026年公式情報で整理します。",service_review,あり,,可,
green-beans-vs-aeon-net-super,Green Beansとイオンネットスーパーを比較｜送料・配送エリア・WAON POINTはどっちがおすすめ？【2026年版】,C. 複数サービス比較 / おすすめ / 選び方,Green Beansとイオンネットスーパーを比較,送料・配送エリア・WAON POINTはどっちがおすすめ？【2026年版】,人間確認推奨,AとBを比較,ネットスーパー,2026-08-22,2026-08-22,Green Beansとイオンネットスーパーを、送料、最低注文金額、配送エリア、配送方式、WAON POINT、置き楽、当日配送、向いている人で比較します。,service_comparison,あり,,可,
greplica-review,Greplicaとは？使い方・料金・AIコーディングで何が変わるかをわかりやすく解説,A. 単体サービス紹介,Greplica,使い方・料金・AIコーディングで何が変わるかをわかりやすく解説,自動変換可能,Aとは？〜,AIサービス,2026-08-17,2026-08-23,Greplicaは、CodexやClaude CodeなどのAIコーディングエージェントが、過去の開発セッションやコードベースの文脈を毎回ゼロから調べ直さなくて済むようにする「開発メモリ」ツールです。,service_review,あり,SRV-000021-greplica,可,
groundwire-review,Groundwireとは？使い方・料金・買い切りで使う意味をわかりやすく解説,A. 単体サービス紹介,Groundwire,使い方・料金・買い切りで使う意味をわかりやすく解説,自動変換可能,Aとは？〜,アプリ,2026-08-21,2026-08-23,Groundwireは、iPhoneやAndroidスマートフォンでSIP通話を使うためのVoIPソフトフォンアプリです。電話番号そのものを提供するサービスではなく、SIP対応のIP電話サービスやPBXと組み合わせて、スマホを内線端末やIP電話機として使うためのアプリです。,service_review,あり,,可,
gumloop-review,Gumloopとは？AIエージェントとワークフローの違い・使い方・料金を解説,A. 単体サービス紹介,Gumloop,AIエージェントとワークフローの違い・使い方・料金を解説,自動変換可能,Aとは？〜,AI業務自動化,2026-08-23,2026-08-24,Gumloopは、AIを使った業務自動化を、ワークフローとAIエージェントの両方から作れるサービスです。,service_review,あり,,可,
