slug,oldTitle,displayTitle,subtitle,classification,conversionStatus,notes
"mitsui-carshares-review","三井のカーシェアーズとは？料金・月会費無料プラン・距離料金・使い方を解説【2026年版】","三井のカーシェアーズ","料金・月会費無料プラン・距離料金・使い方を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"montessori-education","モンテッソーリ教育とは？特徴・敏感期・教具・家庭での取り入れ方・注意点を解説【2026年版】","モンテッソーリ教育","特徴・敏感期・教具・家庭での取り入れ方・注意点を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"n8n-ai-agent-review","n8n AI Agentとは？作り方・料金・普通の自動化との違いをわかりやすく解説","n8n AI Agent","作り方・料金・普通の自動化との違いをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"naive-ai","Naïveとは？AIエージェント向けインフラの仕組み・料金・どんな開発に向いているかを解説","Naïve","AIエージェント向けインフラの仕組み・料金・どんな開発に向いているかを解説","A. 単体サービス紹介","自動変換可能",""
"napkin-ai-review","Napkin AIとは？使い方・料金・無料版でどこまで図解を作れるかを解説","Napkin AI","使い方・料金・無料版でどこまで図解を作れるかを解説","A. 単体サービス紹介","自動変換可能",""
"needstour-review","ニーズツアーの評判・口コミは？沖縄・北海道旅行で使うメリット・デメリットを解説【2026年版】","ニーズツアー","評判・口コミ、沖縄・北海道旅行で使うメリット・デメリットを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"netflix-review","Netflixとは？料金・広告つき・スタンダード・プレミアム・同時視聴を解説【2026年版】","Netflix","料金・広告つき・スタンダード・プレミアム・同時視聴を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"nightcap-camera","NightCap Cameraとは？使い方・料金・夜景や星空で使う意味をわかりやすく解説","NightCapカメラ","使い方・料金・夜景や星空で使う意味をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"nippon-travel-jr-hotel-review","日本旅行の評判・口コミは？JR＋宿泊セットプランのメリット・デメリットと予約前の注意点【2026年版】","日本旅行","評判・口コミ、JR＋宿泊セットプランのメリット・デメリット、予約前の注意点【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"noir-review","NOIRとは？AI写真の作り方・料金・Proにする意味をわかりやすく解説","Noir","AI写真の作り方・料金・Proにする意味をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"nosh-review","nosh（ナッシュ）とは？料金・送料・メニュー・糖質・解約を解説【2026年版】","nosh","料金・送料・メニュー・糖質・解約を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"notebooklm-review","Gemini Notebook（旧NotebookLM）とは？使い方・料金・無料版でどこまでできるかを解説","NotebookLM","使い方・料金・無料版でどこまでできるかを解説","A. 単体サービス紹介","自動変換可能",""
"notta-review","Nottaとは？使い方・料金・どんな人に向いているかをわかりやすく解説","Notta","使い方・料金・どんな人に向いているかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"nuro-hikari-review","NURO 光とは？料金・2ギガと10ギガの違い・開通前の注意点まで解説","NURO 光","料金・2ギガと10ギガの違い・開通前の注意点まで解説","A. 単体サービス紹介","自動変換可能",""
"nursing-related-diagram-review","看護関連図Neoとは？使い方・料金・実習でどこまで使えるかをわかりやすく解説","看護学生必携!関連図アプリ","使い方・料金・実習でどこまで使えるかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"olli-by-tinrocket","Olli by Tinrocketとは？使い方・料金・600円でどこまでできるかをわかりやすく解説","Olli by Tinrocket","使い方・料金・600円でどこまでできるかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"onedrive-review","OneDriveとは？料金・使い方・Microsoft 365や他クラウドとの違いを解説","OneDrive","料金・使い方・Microsoft 365、他クラウドとの違いを解説","A. 単体サービス紹介","自動変換可能",""
"openai-codex-review","OpenAI Codexとは？使い方・料金・CLIやアプリで何ができるかを解説","OpenAI Codex","使い方・料金・CLI、アプリで何ができるかを解説","A. 単体サービス紹介","自動変換可能",""
"orbis-guide-review","オービスガイドとは？使い方・無料版との違い・2026年の注意点を解説","Orbis Guide","使い方・無料版との違い・2026年の注意点を解説","A. 単体サービス紹介","自動変換可能",""
"organic-chemistry-university-exam-review","有機化学 大学受験は買う価値ある？3本セット2,000円の受験化学アプリを解説【2026年版】","有機化学 大学受験","買う価値・3本セット2,000円の受験化学アプリを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"orix-carshare-review","オリックスカーシェアとは？料金・月額880円・6時間距離料金0円・学生プランを解説【2026年版】","オリックスカーシェア","料金・月額880円・6時間距離料金0円・学生プランを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"otter-ai-review","Otter.aiとは？使い方・料金・無料版でどこまで議事録を作れるかを解説","Otter.ai","使い方・料金・無料版でどこまで議事録を作れるかを解説","A. 単体サービス紹介","自動変換可能",""
"pacific-league-tv-review","パ・リーグTVとは？料金・見られる試合・1dayチケット・ファンクラブ割引を解説【2026年版】","パ・リーグTV","料金・見られる試合・1dayチケット・ファンクラブ割引を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"pasmo-review","PASMOとは？カード・モバイルPASMO・デポジット・オートチャージを解説【2026年版】","PASMO","カード・モバイルPASMO・デポジット・オートチャージを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"paypay-bank-review","PayPay銀行とは？金利・手数料・PayPayとの連携まで解説","PayPay銀行","金利・手数料・PayPayとの連携まで解説","A. 単体サービス紹介","自動変換可能",""
"paypay-card-review","PayPayカードとは？年会費・還元率・PayPayクレジット・最大1.5％を解説【2026年版】","PayPayカード","年会費・還元率・PayPayクレジット・最大1.5％を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"paypay-review","PayPayとは？還元率・PayPayポイント・チャージ・送る/受け取る・使い方を解説【2026年版】","PayPay","還元率・PayPayポイント・チャージ・送る/受け取る・使い方を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"perplexity-advanced-deep-research-review","Perplexity Advanced Deep Researchとは？通常検索との違い・使い方・料金まで解説","Perplexity Advanced Deep Research","通常検索との違い・使い方・料金まで解説","A. 単体サービス紹介","自動変換可能",""
"perplexity-comet-review","Perplexity Cometとは？AIブラウザの使い方・無料で何ができるかを解説","Perplexity Comet","AIブラウザの使い方・無料で何ができるかを解説","A. 単体サービス紹介","自動変換可能",""
"perplexity-review","Perplexityとは？検索AIの使い方・料金・無料版とProの違いをわかりやすく解説","Perplexity","検索AIの使い方・料金・無料版とProの違いをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"pika-review","Pikaとは？Pika 2.5・料金・無料枠・Pikaffects・商用利用を解説【2026年版】","Pika","2.5・料金・無料枠・Pikaffects・商用利用を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"pinay-housekeeping-review","ピナイ家政婦サービスとは？料金・特徴・利用の流れや他の家事代行との違いを解説","ピナイ家事代行","料金・特徴・利用の流れ、他の家事代行との違いを解説","A. 単体サービス紹介","自動変換可能",""
"povo-review","povo2.0とは？料金・トッピングの仕組みと向いている使い方を解説","povo","料金・トッピングの仕組みと向いている使い方を解説","A. 単体サービス紹介","自動変換可能",""
"premium-water-review","プレミアムウォーターとは？料金・サーバーの違い・5年契約の注意点まで解説","プレミアムウォーター","料金・サーバーの違い・5年契約の注意点まで解説","A. 単体サービス紹介","自動変換可能",""
"procreate-pocket-review","Procreate Pocketとは？使い方・料金・iPad版Procreateとの違いをわかりやすく解説","Procreate Pocket","使い方・料金・iPad版Procreateとの違いをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"rakuma-review","楽天ラクマとは？販売手数料・送料・売上金の受け取りまで解説","楽天ラクマ","販売手数料・送料・売上金の受け取りまで解説","A. 単体サービス紹介","自動変換可能",""
"rakuten-ai-shopping-review","楽天AIショッピングとは？楽天市場で商品の探し方がどう変わるのか、使い方まで解説","Rakuten AI","楽天市場で商品の探し方がどう変わるのか、使い方まで解説","A. 単体サービス紹介","自動変換可能",""
"rakuten-bank-review","楽天銀行とは？金利・ATM手数料・ハッピープログラム・楽天証券との連携まで解説","楽天銀行","金利・ATM手数料・ハッピープログラム・楽天証券との連携まで解説","A. 単体サービス紹介","自動変換可能",""
"rakuten-beauty-review","楽天ビューティとは？楽天ポイント・SPU・クーポン・予約・キャンセルを解説【2026年版】","楽天ビューティ","楽天ポイント・SPU・クーポン・予約・キャンセルを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"rakuten-card-review","楽天カードとは？年会費・還元率・楽天ポイント・ETC・楽天市場を解説【2026年版】","楽天カード","年会費・還元率・楽天ポイント・ETC・楽天市場を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"rakuten-carshare-review","楽天カーシェアとは？月額0円・楽天ポイント・料金・利用事業者を解説【2026年版】","楽天カーシェア","月額0円・楽天ポイント・料金・利用事業者を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"rakuten-electricity-review","楽天でんきは安い？基本料金0円の仕組み・料金・市場価格調整までわかりやすく解説","楽天でんき","安い？基本料金0円の仕組み・料金・市場価格調整までわかりやすく解説","A. 単体サービス紹介","ほぼ自動変換可能",""
"rakuten-mart-review","楽天マートとは？送料・お買い物応援プラン・楽天ポイント・最低注文条件を解説【2026年版】","楽天マート","送料・お買い物応援プラン・楽天ポイント・最低注文条件を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"rakuten-mobile-review","楽天モバイルとは？料金・Rakuten Link・無制限で使うときの注意点まで解説","楽天モバイル","料金・Rakuten Link・無制限で使うときの注意点まで解説","A. 単体サービス紹介","自動変換可能",""
"rakuten-pay-review","楽天ペイとは？還元率・楽天ポイント・楽天キャッシュ・楽天カードを解説【2026年版】","楽天ペイ","還元率・楽天ポイント・楽天キャッシュ・楽天カードを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"rakuten-tv-adult-review","Rakuten TVの成人向け動画とは？AV見放題・レンタル・購入終了後の使い方を解説【2026年版】","Rakuten TV成人向け","AV見放題・レンタル・購入終了後の使い方を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"read-ai-review","Read AIとは？使い方・料金・どんな人に向いているかをわかりやすく解説","Read AI","使い方・料金・どんな人に向いているかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"reggio-emilia-education","レッジョ・エミリア教育とは？100の言葉・プロジェクト・アトリエ・記録を解説【2026年版】","レッジョ・エミリア教育","100の言葉・プロジェクト・アトリエ・記録を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"rentio-review","Rentioとは？使い方・料金・月額制とワンタイムの違いをわかりやすく解説","Rentio","使い方・料金・月額制とワンタイムの違いをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"replit-agent-review","Replit Agentとは？Agent 4の使い方・料金・Lovableとの違いを考える前に知りたい特徴","Replit Agent","Agent 4の使い方・料金・Lovableとの違いを考える前に知りたい特徴","A. 単体サービス紹介","自動変換可能",""
"retell-ai-review","Retell AIとは？AI電話エージェントの作り方・料金・本番運用しやすい理由を解説","Retell AI","AI電話エージェントの作り方・料金・本番運用し、すい理由を解説","A. 単体サービス紹介","自動変換可能",""
"runway-review","Runwayとは？Gen-4.5・料金・クレジット・商用利用・動画生成の使い方を解説【2026年版】","Runway","Gen-4.5・料金・クレジット・商用利用・動画生成の使い方を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"sakai-moving-review","サカイ引越センターとは？料金の決まり方・3つのプラン・見積もり方法まで解説","サカイ引越センター","料金の決まり方・3つのプラン・見積もり方法まで解説","A. 単体サービス紹介","自動変換可能",""
"sentakubin-review","せんたく便とは？料金・最速パック・保管11ヶ月・送料を解説【2026年版】","せんたく便","料金・最速パック・保管11ヶ月・送料を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"shadowrocket-review","Shadowrocketとは？使い方・料金・500円で何ができるのかをわかりやすく解説","Shadowrocket","使い方・料金・500円で何ができるのかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"shashin-poipoi-review","写真ぽいぽいは買う価値ある？広告なしでiPhoneの写真をスワイプ整理できるアプリを解説【2026年版】","写真ぽいぽい","買う価値・広告なしでiPhoneの写真をスワイプ整理できるアプリを解説【2026年版】","A. 単体サービス紹介","ほぼ自動変換可能",""
"shein-review","SHEINとは？安い理由・送料・返品・安全性・Temuとの違いを解説【2026年版】","SHEIN","安い理由・送料・返品・安全性・Temuとの違いを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"sierra-ai-review","Sierra AIとは？Agent OSで何ができる？使い方・料金・企業向けAIエージェントの特徴を解説","Sierra","Agent OSで何ができる？使い方・料金・企業向けAIエージェントの特徴を解説","A. 単体サービス紹介","自動変換可能",""
"ski-ai-review","SKIとは？CodexやClaude Codeを声で操作できる無料ツールの使い方を解説","SKI","Codex、Claude Codeを声で操作できる無料ツールの使い方を解説","A. 単体サービス紹介","自動変換可能",""
"smbc-card-nl-review","三井住友カード（NL）とは？年会費・7％還元・Vポイント・タッチ決済を解説【2026年版】","三井住友カード（NL）","年会費・7％還元・Vポイント・タッチ決済を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"softbank-hikari-review","ソフトバンク光とは？料金・IPv6・スマホ割や他社光回線との違いを解説","SoftBank 光","料金・IPv6・スマホ割、他社光回線との違いを解説","A. 単体サービス紹介","自動変換可能",""
"spotify-review","Spotifyとは？無料プラン・Premium料金・ロスレス・学割・ファミリーを解説【2026年版】","Spotify","無料プラン・Premium料金・ロスレス・学割・ファミリーを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"stagecamerapro2-review","StageCameraPro2とは？使い方・料金・850円で標準カメラと何が変わるかをわかりやすく解説","StageCameraPro2","使い方・料金・850円で標準カメラと何が変わるかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"steiner-education","シュタイナー教育とは？特徴・7年周期・幼児期・芸術・家庭での取り入れ方を解説【2026年版】","シュタイナー教育","特徴・7年周期・幼児期・芸術・家庭での取り入れ方を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"subsclife-review","subsclifeとは？家具・家電サブスクの仕組み・料金・購入との違いを解説","subsclife","家具・家電サブスクの仕組み・料金・購入との違いを解説","A. 単体サービス紹介","自動変換可能",""
"sugoca-review","SUGOCAとは？デポジット・オートチャージ・JRキューポ・全国相互利用を解説【2026年版】","SUGOCA","デポジット・オートチャージ・JRキューポ・全国相互利用を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"suica-review","Suicaとは？カード・モバイルSuica・デポジット・オートチャージ・JRE POINTを解説【2026年版】","Suica","カード・モバイルSuica・デポジット・オートチャージ・JRE POINTを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"suno-review","Sunoとは？AI音楽生成の使い方・料金・無料版とPro/Premierの違いを解説","Suno","AI音楽生成の使い方・料金・無料版とPro/Premierの違いを解説","A. 単体サービス紹介","自動変換可能",""
"surugaya-buyback-review","駿河屋の宅配買取とは？あんしん買取・かんたん買取・送料・査定を解説【2026年版】","駿河屋","あんしん買取・かんたん買取・送料・査定を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"taskaji-review","タスカジとは？料金・使い方・ハウスキーパーとのマッチング型サービスの特徴を解説","タスカジ","料金・使い方・ハウスキーパーとのマッチング型サービスの特徴を解説","A. 単体サービス紹介","自動変換可能",""
"tecgate-career-review","テックゲート エクスパートとは？ITエンジニア転職の特徴・無料サポートを解説","テックゲート エクスパート","ITエンジニア転職の特徴・無料サポートを解説","A. 単体サービス紹介","自動変換可能",""
"techbiz-review","TECHBIZとは？フリーランス案件・支払いサイト・税務サポートまで解説","TECHBIZ","フリーランス案件・支払いサイト・税務サポートまで解説","A. 単体サービス紹介","自動変換可能",""
"temu-review","Temuとは？安い理由・安全性・返品・配送・価格調整まで解説【2026年版】","Temu","安い理由・安全性・返品・配送・価格調整まで解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"ticket-pia-review","チケットぴあとは？手数料・買い方・リセール・Myチケットの使い方まで解説【2026年版】","チケットぴあ","手数料・買い方・リセール・Myチケットの使い方まで解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"ticketjam-review","チケジャムとは？手数料・安全性・買い方・売り方・注意点を解説【2026年版】","チケジャム","手数料・安全性・買い方・売り方・注意点を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"tiktok-shop-creator-affiliate-review","TikTok Shopクリエイターアフィリエイトとは？始め方・報酬・商品紹介の仕組みを解説","TikTok Shopクリエイターアフィリエイト","始め方・報酬・商品紹介の仕組みを解説","A. 単体サービス紹介","自動変換可能",""
"tiktok-shop-live-auction-review","TikTok Shop LIVEオークションとは？入札の仕組み・出品方法・注意点を解説","TikTok Shop LIVEオークション","入札の仕組み・出品方法・注意点を解説","A. 単体サービス紹介","自動変換可能",""
"tiktok-shop-live-review","TikTok Shop LIVEとは？始め方・商品追加・売り方のコツまで解説","TikTok Shop LIVE","始め方・商品追加・売り方のコツまで解説","A. 単体サービス紹介","自動変換可能",""
"tiktok-shop-review","TikTok Shopとは？日本での買い方・出店方法・手数料まで解説","TikTok Shop","日本での買い方・出店方法・手数料まで解説","A. 単体サービス紹介","自動変換可能",""
"times-car-review","タイムズカーとは？料金・距離料金・月額・学生プラン・使い方を解説【2026年版】","タイムズカー","料金・距離料金・月額・学生プラン・使い方を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"tldv-review","tl;dvとは？使い方・料金・どんな人に向いているかをわかりやすく解説","tl;dv","使い方・料金・どんな人に向いているかをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"tokyo-gas-electricity-review","東京ガスの電気は安い？基本プランの料金・セット割・東京電力から変える意味を解説","東京ガスの電気","安い？基本プランの料金・セット割・東京電力から変える意味を解説","A. 単体サービス紹介","ほぼ自動変換可能",""
"unext-review","U-NEXTとは？料金・ポイント制度・使い方と他社動画配信サービスとの違いを解説","U-NEXT","料金・ポイント制度・使い方と他社動画配信サービスとの違いを解説","A. 単体サービス紹介","自動変換可能",""
"unison-career-review","ユニゾンキャリアとは？IT転職の特徴・求人・無料相談の流れをわかりやすく解説","ユニゾンキャリア","IT転職の特徴・求人・無料相談の流れをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"vapi-review","Vapiとは？AI電話エージェントの作り方・料金・どんな開発に向いているかを解説","Vapi","AI電話エージェントの作り方・料金・どんな開発に向いているかを解説","A. 単体サービス紹介","自動変換可能",""
"watami-takushoku-direct-review","ワタミの宅食ダイレクトとは？料金・送料・いつでも三菜・定期条件を解説【2026年版】","ワタミの宅食ダイレクト","料金・送料・いつでも三菜・定期条件を解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"white-delivery-cleaning-review","ホワイト宅配便とは？料金・送料無料・最長9ヶ月保管・10点パックを解説【2026年版】","ホワイト宅配便","料金・送料無料・最長9ヶ月保管・10点パックを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"wispr-flow","Wispr Flowとは？音声入力の使い方・無料版とProの違いをわかりやすく解説","Wispr Flow","音声入力の使い方・無料版とProの違いをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"writesonic-review","Writesonicとは？AI記事作成・SEO・AI検索対策で何ができるか、料金まで解説","Writesonic","AI記事作成・SEO・AI検索対策で何ができるか、料金まで解説","A. 単体サービス紹介","自動変換可能",""
"yahoo-furima-review","Yahoo!フリマとは？手数料・送料・買い方・売り方までわかりやすく解説","Yahoo!フリマ","手数料・送料・買い方・売り方までわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"youngphoto-review","YoungPhotoとは？構図ガイドの使い方・料金・350円払う意味を解説","YoungPhoto","構図ガイドの使い方・料金・350円払う意味を解説","A. 単体サービス紹介","自動変換可能",""
"youtube-music-review","YouTube Musicとは？無料版・Premium料金・バックグラウンド再生・YouTube Premiumとの違いを解説【2026年版】","YouTube Music","無料版・Premium料金・バックグラウンド再生・YouTube Premiumとの違いを解説【2026年版】","A. 単体サービス紹介","自動変換可能",""
"zapier-agents-review","Zapier Agentsとは？普通のZapとの違い・使い方・料金をわかりやすく解説","Zapier Agents","普通のZapとの違い・使い方・料金をわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
"zinley","Zinleyとは？何を任せられる？無料版とPlus・Proの違いをわかりやすく解説","Zinley","何を任せられる？無料版とPlus・Proの違いをわかりやすく解説","A. 単体サービス紹介","自動変換可能",""
